timestamp,approach,turn,length_ft,speed_mph,phase,light,seconds_of_light_state,seconds_since_green,recent_free_flow_speed_mph,calibration_free_flow_speed_mph,include_in_approach_data,zone_id
20161003T075950.6,N,L,17,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T075956.8,N,L,11,24,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080138.4,N,L,17,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080141.5,N,L,13,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080330.1,N,L,12,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080334.2,N,L,14,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080336.5,N,L,11,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080337.7,N,L,14,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080340.1,N,L,15,18,3,Y,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080519.9,N,L,10,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080524.5,N,L,14,21,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080709.4,N,L,11,7,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080711.9,N,L,13,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080859.4,N,L,14,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080902.7,N,L,11,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T080905.7,N,L,9,17,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081240.3,N,L,12,7,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081243.1,N,L,7,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081245.6,N,L,14,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081429.3,N,L,12,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081432.6,N,L,18,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081435.0,N,L,11,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081437.5,N,L,13,15,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081439.9,N,L,13,21,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081620.0,N,L,16,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081621.8,N,L,12,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T081813.3,N,L,12,11,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
